OBJECTID,CSA2010,wlksc11,wlksc17,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,43.9717741935484,56.396,63770461.7796021,38770.1655712393
2,Beechfield/Ten Hills/West Hills,32.532967032967,39.359,47882527.7110596,37524.9505334171
3,Belair-Edison,62.3225806451613,67.667,44950030.4716797,31307.3148434597
4,Brooklyn/Curtis Bay/Hawkins Point,17.683615819209,19.737,176077742.748718,150987.703638772
5,Canton,89.2142857142857,87.762,15408538.2247314,23338.6119476477
6,Cedonia/Frankford,57.3939393939394,62.202,71541340.3063965,39962.5498347165
7,Cherry Hill,38.0560747663551,46.673,29144181.3516235,22305.3020666822
8,Chinquapin Park/Belvedere,74.5930232558139,74.529,21022590.1307373,21705.411630344
9,Claremont/Armistead,30.9670781893004,38.127,61243774.4211426,40104.415980189
10,Clifton-Berea,58.2604166666667,72.219,23285233.9251099,24022.7646207842
11,Cross-Country/Cheswolde,43.0588235294118,43.987,38222018.3164673,26788.3018783838
12,Dickeyville/Franklintown,17.1095890410959,26.096,35719112.4142456,31637.8174237991
13,Dorchester/Ashburton,55.9337748344371,62.589,34118277.1812134,27136.0757115219
14,Downtown/Seton Hill,96.7023809523809,95.702,20736554.4064941,21565.859394559
15,Edmondson Village,52.3559322033898,54.316,23563061.0443115,21504.551357829
16,Fells Point,93.9285714285714,94.564,12620515.7171631,27670.1699158053
17,Forest Park/Walbrook,41.4885496183206,49.015,37200535.0296631,36886.8997811279
18,Glen-Fallstaff,65.6923076923077,68.056,46995477.4781494,48549.0046179293
19,Greater Charles Village/Barclay,89.8559322033898,87.102,27051213.4559937,26454.2692113332
20,Greater Govans,56.6571428571429,61,22698495.7178955,22982.125714974
21,Greater Mondawmin,66.0676691729323,67.256,33663448.2791138,31136.7318903515
22,Greater Roland Park/Poplar Hill,54.5829787234043,52.562,56688145.1790161,39862.7497953118
23,Greater Rosemont,60.9176470588235,67.959,42204384.5406494,32559.0762211491
24,Greenmount East,70.5301204819277,82.386,19072287.8240967,20797.4734578598
25,Hamilton,60.1421052631579,62.728,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,94.8048780487805,94.244,10215859.0836182,18552.4075815937
27,Harford/Echodale,53.1729323308271,60.023,65360039.1698608,40019.1854001996
28,Highlandtown,88.4909090909091,91.4,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,54.1538461538462,56.609,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,91.03,89.684,24995836.2615967,43415.0595478862
31,Lauraville,60.2760416666667,60.312,49665744.2354736,34419.676527973
32,Loch Raven,49.3758865248227,55.764,44147812.3265381,29314.3346718286
33,Madison/East End,79.25,88.806,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,70.4279835390947,69.041,62441489.2398071,43152.625699222
35,Midtown,93.15,89.446,23823949.9294434,25020.0969698082
36,Midway/Coldstream,73.961038961039,74.312,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,42.0323741007194,45.708,67470845.9901123,44412.745130342
38,Mount Washington/Coldspring,31.4581005586592,32.695,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,55.0953947368421,58.395,74923987.6937256,42904.2221443544
40,Northwood,44.605,47.599,52743271.7706299,38889.8945908862
41,Oldtown/Middle East,84.8653846153846,90.779,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,50.8120104438642,50.995,89894372.2113037,47825.8629266244
43,Patterson Park North & East,79.7777777777778,88.556,14507643.2044067,21786.3746601014
44,Penn North/Reservoir Hill,74.2131147540984,76.95,41059796.6773071,29078.8384985548
45,Pimlico/Arlington/Hilltop,65.9370078740157,72.85,30400962.0054932,24725.9340693612
46,Poppleton/The Terraces/Hollins Market,89.5476190476191,87.791,9302012.99926758,12334.0275347411
47,Sandtown-Winchester/Harlem Park,72.741935483871,80.839,23672092.8682861,20987.1433066354
48,South Baltimore,44.625,47.26,46353935.4255981,68440.0258266401
49,Southeastern,25.80625,30.09,111251478.472229,102291.480547698
50,Southern Park Heights,53.1826086956522,60.765,27876227.5908203,24052.221372193
51,Southwest Baltimore,77.3522012578616,81.352,37766068.8365479,28355.563581391
52,The Waverlies,76.5679012345679,73.21,20383750.5437012,18733.826879757
53,Upton/Druid Heights,83.7272727272727,86.5,16976622.3380127,19389.3078212169
54,Washington Village/Pigtown,70.568345323741,62.252,39343262.0375977,36962.2600947677
55,Westport/Mount Winans/Lakeland,45.4784946236559,45.774,45494092.9501953,42573.1244161851
